Shot_ID,Date_Time,Elapsed_ms,Raw_RPM,Filtered_RPM,,
8,21:46:31,12,4629,4629,,
8,21:46:31,32,2982,2982,,
8,21:46:31,40,7352,2982,,
8,21:46:31,47,7796,2982,,
8,21:46:31,54,8187,2982,,
8,21:46:31,61,8455,2982,,
8,21:46:31,67,8660,2982,,
8,21:46:31,74,8004,2982,,
8,21:46:31,81,7970,2982,,
8,21:46:31,90,6102,2982,,
8,21:46:31,100,5555,2982,,
8,21:46:31,113,4461,4461,,
8,21:46:31,136,2533,2533,,
8,21:46:31,199,944,944,,
8,21:46:31,209,5576,944,,
8,21:46:31,276,892,892,,
7,21:46:31,7,8143,8143,,
7,21:46:31,14,8178,8178,,
7,21:46:31,21,8426,8426,,
7,21:46:31,27,8650,8650,,
7,21:46:31,36,6432,6432,,
7,21:46:31,48,4749,4749,,
7,21:46:31,51,19430,4749,,
7,21:46:31,66,3820,3820,,
7,21:46:31,96,1974,1974,,
7,21:46:31,107,5307,1974,,
7,21:46:31,112,10359,1974,,
7,21:46:31,222,544,544,,
6,21:46:31,8,7177,7177,,
6,21:46:31,23,3928,3928,,
6,21:46:31,35,4983,4983,,
6,21:46:31,42,8169,4983,,
6,21:46:31,50,7477,4983,,
6,21:46:31,55,10885,4983,,
6,21:46:31,64,6602,6602,,
6,21:46:31,72,7267,7267,,
6,21:46:31,84,4635,4635,,
6,21:46:31,107,2514,2514,,
6,21:46:31,143,1627,1627,,
6,21:46:31,163,3000,3000,,
6,21:46:31,219,1067,1067,,
6,21:46:31,241,2642,2642,,
5,21:46:31,9,6516,6516,,
5,21:46:31,24,3778,3778,,
5,21:46:31,31,8351,3778,,
5,21:46:31,38,7970,3778,,
5,21:46:31,45,7568,3778,,
5,21:46:31,52,7676,3778,,
5,21:46:31,54,22658,3778,,
5,21:46:31,60,8792,3778,,
5,21:46:31,71,5057,5057,,
5,21:46:31,86,3892,3892,,
5,21:46:31,185,605,605,,
5,21:46:31,207,2712,605,,
5,21:46:31,212,10204,605,,
5,21:46:31,228,3698,605,,
4,21:46:31,16,3722,3722,,
4,21:46:31,21,10431,3722,,
4,21:46:31,35,4132,4132,,
4,21:46:31,36,32608,4132,,
4,21:46:31,41,11061,4132,,
4,21:46:31,50,6613,4132,,
4,21:46:31,57,8214,4132,,
4,21:46:31,67,5928,5928,,
4,21:46:31,78,5353,5353,,
4,21:46:31,93,3930,3930,,
4,21:46:31,154,970,970,,
4,21:46:31,194,1486,1486,,
4,21:46:31,196,26408,1486,,
4,21:46:31,242,1301,1301,,
3,21:46:31,8,7260,7260,,
3,21:46:31,15,7928,7928,,
3,21:46:31,20,10683,7928,,
3,21:46:31,27,8426,8426,,
3,21:46:31,32,10288,10288,,
3,21:46:31,39,8379,8379,,
3,21:46:31,44,11645,8379,,
3,21:46:31,50,8640,8640,,
3,21:46:31,57,7522,7522,,
3,21:46:31,66,6504,6504,,
3,21:46:31,76,5919,5919,,
3,21:46:31,89,4388,4388,,
3,21:46:31,110,2744,2744,,
3,21:46:31,120,5522,2744,,
3,21:46:31,132,4898,2744,,
3,21:46:31,144,4885,2744,,
3,21:46:31,148,13786,2744,,
3,21:46:31,185,1603,1603,,
3,21:46:31,214,2019,2019,,
3,21:46:31,234,2925,2925,,
2,21:46:31,16,3542,3542,,
2,21:46:31,31,3834,3834,,
2,21:46:31,38,8232,3834,,
2,21:46:31,45,8532,3834,,
2,21:46:31,54,6596,3834,,
2,21:46:31,60,9640,3834,,
2,21:46:31,62,20325,3834,,
2,21:46:31,67,10040,3834,,
2,21:46:31,77,5482,5482,,
2,21:46:31,91,4246,4246,,
2,21:46:31,117,2261,2261,,
2,21:46:31,173,1065,1065,,
2,21:46:31,175,24115,1065,,
2,21:46:31,180,10760,1065,,
2,21:46:31,199,3003,3003,,
2,21:46:31,223,2429,2429,,
2,21:46:31,244,2846,2846,,
1,21:46:30,7,8493,8493,,
1,21:46:30,14,8324,8324,,
1,21:46:30,20,9727,9727,,
1,21:46:30,26,8680,8680,,
1,21:46:30,34,7177,7177,,
1,21:46:30,42,7360,7360,,
1,21:46:30,50,7288,7288,,
1,21:46:30,61,5438,5438,,
1,21:46:30,72,5060,5060,,
1,21:46:30,90,3225,3225,,
1,21:46:30,160,853,853,,
1,21:46:30,208,1245,1245,,
1,21:46:30,229,2847,2847,,
